pi0,m,component,method,time_sec
0.75,4,dgp,,0.4899562950000069
0.75,4,method,bonferroni,0.00928584099998897
0.75,4,metrics,bonferroni,0.08562061599999415
0.75,4,dgp,,0.4899562950000069
0.75,4,method,hochberg,0.03462172999999824
0.75,4,metrics,hochberg,0.08183909000000034
0.75,4,dgp,,0.4899562950000069
0.75,4,method,bh,0.08645146400001158
0.75,4,metrics,bh,0.08104150000001487
0.75,8,dgp,,0.453715795000007
0.75,8,method,bonferroni,0.009279613000009679
0.75,8,metrics,bonferroni,0.08444642500001565
0.75,8,dgp,,0.453715795000007
0.75,8,method,hochberg,0.03722311700000813
0.75,8,metrics,hochberg,0.08151882700000601
0.75,8,dgp,,0.453715795000007
0.75,8,method,bh,0.08563844300001922
0.75,8,metrics,bh,0.080213128999999
0.75,16,dgp,,0.4510367640000297
0.75,16,method,bonferroni,0.009195349000030273
0.75,16,metrics,bonferroni,0.08402507800001446
0.75,16,dgp,,0.4510367640000297
0.75,16,method,hochberg,0.04371621400003489
0.75,16,metrics,hochberg,0.0803618149999834
0.75,16,dgp,,0.4510367640000297
0.75,16,method,bh,0.08613502100000447
0.75,16,metrics,bh,0.07984415000003553
0.75,32,dgp,,0.4548070769999564
0.75,32,method,bonferroni,0.009276112999942132
0.75,32,metrics,bonferroni,0.08385184399993717
0.75,32,dgp,,0.4548070769999564
0.75,32,method,hochberg,0.05877926800004607
0.75,32,metrics,hochberg,0.08069678200004438
0.75,32,dgp,,0.4548070769999564
0.75,32,method,bh,0.08812717300000905
0.75,32,metrics,bh,0.0800271960000214
0.75,64,dgp,,0.4645308640000474
0.75,64,method,bonferroni,0.009321217999986864
0.75,64,metrics,bonferroni,0.08470171200000731
0.75,64,dgp,,0.4645308640000474
0.75,64,method,hochberg,0.08969657200001269
0.75,64,metrics,hochberg,0.08165647100002893
0.75,64,dgp,,0.4645308640000474
0.75,64,method,bh,0.09236221499996855
0.75,64,metrics,bh,0.08036641900001218
0.75,128,dgp,,0.48852146000001895
0.75,128,method,bonferroni,0.009562207000017864
